Year,NOC,Gold,Total
2024,CIV,0,0
2024,COL,0,0
2024,CPV,0,0
2024,CYP,0,0
2024,FIJ,0,0
2024,GRN,0,0
2024,IND,0,0
2024,JOR,0,0
2024,KGZ,0,0
2024,KOS,0,0
2024,LTU,0,0
2024,MAS,0,0
2024,MDA,0,0
2024,MEX,0,0
2024,MGL,0,0
2024,PAN,0,0
2024,PER,0,0
2024,PRK,0,0
2024,PUR,0,0
2024,QAT,0,0
2024,ROT,0,0
2024,SIN,0,0
2024,SVK,0,0
2024,TJK,0,0
2024,TUR,0,0
2024,ZAM,0,0
1996,ARM,1,1
1996,BDI,1,1
1996,BLR,1,1
1996,CRC,1,1
1996,CRO,1,1
1996,ECU,1,1
1996,FIN,1,1
1996,GBR,1,1
1996,HKG,1,1
1996,INA,1,1
1996,IRI,1,1
1996,JAM,1,1
1996,KEN,1,1
1996,POR,1,1
1996,SVK,1,1
1996,SYR,1,1
1996,THA,1,1
1996,YUG,1,1
1998,BUL,1,1
1998,CZE,1,1
2000,ALG,1,1
2000,CMR,1,1
2000,COL,1,1
2000,CRO,1,1
2000,EST,1,1
2000,INA,1,1
2000,LAT,1,1
2000,MEX,1,1
2000,MOZ,1,1
2000,NGR,1,1
2000,NZL,1,1
2000,SUI,1,1
2000,SVK,1,1
2000,THA,1,1
2000,UZB,1,1
2000,YUG,1,1
2002,CZE,1,1
2002,EST,1,1
2002,GBR,1,1
2004,AZE,1,1
2004,BAH,1,1
2004,BEL,1,1
2004,CMR,1,1
2004,CRO,1,1
2004,CZE,1,1
2004,DOM,1,1
2004,EGY,1,1
2004,INA,1,1
2004,ISR,1,1
2004,KAZ,1,1
2004,KEN,1,1
2004,LTU,1,1
2004,RSA,1,1
2004,SUI,1,1
2004,UAE,1,1
2004,ZIM,1,1
2006,AUS,1,1
2006,CRO,1,1
2006,CZE,1,1
2006,JPN,1,1
2008,AZE,1,1
2008,BUL,1,1
2008,CMR,1,1
2008,DOM,1,1
2008,EST,1,1
2008,FIN,1,1
2008,INA,1,1
2008,IND,1,1
2008,IRI,1,1
2008,LAT,1,1
2008,PAN,1,1
2008,POR,1,1
2008,SLO,1,1
2008,TPE,1,1
2008,TTO,1,1
2008,TUN,1,1
2008,TUR,1,1
2008,ZIM,1,1
2010,BLR,1,1
2010,GBR,1,1
2010,ITA,1,1
2010,POL,1,1
2010,SVK,1,1
2012,ALG,1,1
2012,ARG,1,1
2012,BAH,1,1
2012,BRN,1,1
2012,COL,1,1
2012,DOM,1,1
2012,GEO,1,1
2012,GRN,1,1
2012,IRL,1,1
2012,LAT,1,1
2012,MEX,1,1
2012,SLO,1,1
2012,SRB,1,1
2012,SWE,1,1
2012,TPE,1,1
2012,TTO,1,1
2012,TUR,1,1
2012,UGA,1,1
2012,VEN,1,1
2014,FIN,1,1
2014,GBR,1,1
2014,JPN,1,1
2014,LAT,1,1
2014,SVK,1,1
2014,UKR,1,1
2016,ARM,1,1
2016,AZE,1,1
2016,BAH,1,1
2016,BLR,1,1
2016,BRN,1,1
2016,CIV,1,1
2016,CZE,1,1
2016,ETH,1,1
2016,FIJ,1,1
2016,INA,1,1
2016,IOA,1,1
2016,JOR,1,1
2016,KOS,1,1
2016,PUR,1,1
2016,ROU,1,1
2016,SIN,1,1
2016,SLO,1,1
2016,TJK,1,1
2016,TPE,1,1
2016,TUR,1,1
2016,VIE,1,1
2018,CHN,1,1
2018,FIN,1,1
2018,GBR,1,1
2018,HUN,1,1
2018,POL,1,1
2018,SVK,1,1
2018,UKR,1,1
2020,AUT,1,1
2020,BER,1,1
2020,BLR,1,1
2020,EGY,1,1
2020,EST,1,1
2020,ETH,1,1
2020,FIJ,1,1
2020,HKG,1,1
2020,INA,1,1
2020,IND,1,1
2020,LAT,1,1
2020,MAR,1,1
2020,PHI,1,1
2020,POR,1,1
2020,PUR,1,1
2020,ROU,1,1
2020,RSA,1,1
2020,SVK,1,1
2020,THA,1,1
2020,TUN,1,1
2020,UKR,1,1
2020,VEN,1,1
2024,AIN,1,1
2024,ARG,1,1
2024,BOT,1,1
2024,CHI,1,1
2024,DMA,1,1
2024,DOM,1,1
2024,ECU,1,1
2024,EGY,1,1
2024,ETH,1,1
2024,GRE,1,1
2024,ISR,1,1
2024,JAM,1,1
2024,KAZ,1,1
2024,LCA,1,1
2024,MAR,1,1
2024,PAK,1,1
2024,POL,1,1
2024,POR,1,1
2024,RSA,1,1
2024,SUI,1,1
2024,THA,1,1
2024,TUN,1,1
2024,UGA,1,1
1996,ALG,2,2
1996,BEL,2,2
1996,ETH,2,2
1996,NGR,2,2
1996,NOR,2,2
1996,PRK,2,2
1996,SWE,2,2
1998,FIN,2,2
1998,FRA,2,2
1998,ITA,2,2
1998,SUI,2,2
2000,AUT,2,2
2000,AZE,2,2
2000,BAH,2,2
2000,CZE,2,2
2000,DEN,2,2
2000,FIN,2,2
2000,KEN,2,2
2000,LTU,2,2
2000,SLO,2,2
2002,AUS,2,2
2002,CHN,2,2
2002,KOR,2,2
2004,ARG,2,2
2004,AUT,2,2
2004,BLR,2,2
2004,BUL,2,2
2004,CHI,2,2
2004,DEN,2,2
2004,ETH,2,2
2004,GEO,2,2
2004,IRI,2,2
2004,JAM,2,2
2004,MAR,2,2
2004,SVK,2,2
2004,TPE,2,2
2004,UZB,2,2
2006,CHN,2,2
2006,NOR,2,2
2008,ARG,2,2
2008,BEL,2,2
2008,DEN,2,2
2008,KAZ,2,2
2008,MEX,2,2
2008,MGL,2,2
2008,PRK,2,2
2008,SUI,2,2
2008,THA,2,2
2010,AUS,2,2
2010,CZE,2,2
2010,FRA,2,2
2012,AZE,2,2
2012,BLR,2,2
2012,CAN,2,2
2012,DEN,2,2
2012,KEN,2,2
2012,LTU,2,2
2012,NOR,2,2
2012,ROU,2,2
2012,SUI,2,2
2012,TUN,2,2
2014,CZE,2,2
2014,SLO,2,2
2014,SWE,2,2
2016,BEL,2,2
2016,DEN,2,2
2016,GEO,2,2
2016,KAZ,2,2
2016,POL,2,2
2016,PRK,2,2
2016,RSA,2,2
2016,SRB,2,2
2016,SVK,2,2
2016,SWE,2,2
2016,THA,2,2
2016,UKR,2,2
2018,BLR,2,2
2018,CZE,2,2
2018,OAR,2,2
2020,BAH,2,2
2020,ECU,2,2
2020,GEO,2,2
2020,GRE,2,2
2020,IRL,2,2
2020,KOS,2,2
2020,QAT,2,2
2020,TPE,2,2
2020,TUR,2,2
2020,UGA,2,2
2024,ALG,2,2
2024,AUT,2,2
2024,AZE,2,2
2024,BRN,2,2
2024,CRO,2,2
2024,CUB,2,2
2024,DEN,2,2
2024,HKG,2,2
2024,INA,2,2
2024,PHI,2,2
2024,SLO,2,2
2024,TPE,2,2
1996,BRA,3,3
1996,BUL,3,3
1996,CAN,3,3
1996,IRL,3,3
1996,JPN,3,3
1996,KAZ,3,3
1996,NZL,3,3
1996,RSA,3,3
1998,AUT,3,3
1998,KOR,3,3
2000,BLR,3,3
2000,CAN,3,3
2000,ESP,3,3
2000,IRI,3,3
2000,KAZ,3,3
2000,TUR,3,3
2000,UKR,3,3
2002,AUT,3,3
2002,CRO,3,3
2002,NED,3,3
2002,SUI,3,3
2004,CAN,3,3
2004,ESP,3,3
2004,NZL,3,3
2004,POL,3,3
2004,THA,3,3
2004,TUR,3,3
2006,EST,3,3
2006,FRA,3,3
2006,NED,3,3
2008,BLR,3,3
2008,BRA,3,3
2008,CAN,3,3
2008,CUB,3,3
2008,CZE,3,3
2008,GEO,3,3
2008,HUN,3,3
2008,NOR,3,3
2008,NZL,3,3
2008,SVK,3,3
2010,RUS,3,3
2012,BRA,3,3
2012,CRO,3,3
2012,ETH,3,3
2012,KAZ,3,3
2012,POL,3,3
2014,CHN,3,3
2014,KOR,3,3
2016,ARG,3,3
2016,COL,3,3
2016,GRE,3,3
2016,IRI,3,3
2016,SUI,3,3
2018,ITA,3,3
2020,BEL,3,3
2020,BUL,3,3
2020,CRO,3,3
2020,DEN,3,3
2020,ESP,3,3
2020,IRI,3,3
2020,SLO,3,3
2020,SRB,3,3
2020,SUI,3,3
2020,SWE,3,3
2020,UZB,3,3
2024,BEL,3,3
2024,BRA,3,3
2024,BUL,3,3
2024,CZE,3,3
2024,GEO,3,3
2024,IRI,3,3
2024,ROU,3,3
2024,SRB,3,3
2024,UKR,3,3
1996,CZE,4,4
1996,DEN,4,4
1996,GRE,4,4
1996,NED,4,4
1996,ROU,4,4
1996,SUI,4,4
1996,TUR,4,4
2000,ETH,4,4
2000,GRE,4,4
2000,NOR,4,4
2000,SWE,4,4
2002,FIN,4,4
2002,FRA,4,4
2002,ITA,4,4
2004,NED,4,4
2004,SWE,4,4
2008,ETH,4,4
2008,POL,4,4
2008,ROU,4,4
2010,AUT,4,4
2010,NED,4,4
2012,CZE,4,4
2012,ESP,4,4
2012,JAM,4,4
2012,PRK,4,4
2012,RSA,4,4
2014,AUT,4,4
2014,FRA,4,4
2014,POL,4,4
2016,CAN,4,4
2016,NZL,4,4
2016,UZB,4,4
2018,JPN,4,4
2020,CZE,4,4
2020,JAM,4,4
2020,KEN,4,4
2020,NOR,4,4
2020,POL,4,4
2024,IRL,4,4
2024,KEN,4,4
2024,NOR,4,4
2024,SWE,4,4
1996,ESP,5,5
1998,JPN,5,5
1998,NED,5,5
2000,BUL,5,5
2000,JPN,5,5
2002,RUS,5,5
2004,BRA,5,5
2004,NOR,5,5
2006,ITA,5,5
2006,SUI,5,5
2008,ESP,5,5
2008,JAM,5,5
2010,CHN,5,5
2010,SWE,5,5
2012,CUB,5,5
2012,UKR,5,5
2014,BLR,5,5
2016,CRO,5,5
2016,CUB,5,5
2018,AUT,5,5
2018,FRA,5,5
2018,KOR,5,5
2018,SUI,5,5
2024,ESP,5,5
1998,CAN,6,6
1998,USA,6,6
2000,POL,6,6
2004,GRE,6,6
2006,KOR,6,6
2008,KEN,6,6
2010,KOR,6,6
2010,SUI,6,6
2012,NED,6,6
2012,NZL,6,6
2016,JAM,6,6
2016,KEN,6,6
2020,HUN,6,6
2020,KOR,6,6
2024,HUN,6,6
1996,HUN,7,7
1996,KOR,7,7
1996,POL,7,7
2002,CAN,7,7
2006,CAN,7,7
2006,SWE,7,7
2008,FRA,7,7
2008,NED,7,7
2008,UKR,7,7
2012,IRI,7,7
2012,JPN,7,7
2014,SUI,7,7
2016,BRA,7,7
2016,ESP,7,7
2018,SWE,7,7
2020,BRA,7,7
2020,CAN,7,7
2020,CUB,7,7
2020,NZL,7,7
2000,HUN,8,8
2000,KOR,8,8
2004,HUN,8,8
2004,ROU,8,8
2004,UKR,8,8
2006,RUS,8,8
2008,ITA,8,8
2012,AUS,8,8
2012,HUN,8,8
2012,ITA,8,8
2014,GER,8,8
2014,NED,8,8
2016,AUS,8,8
2016,HUN,8,8
2016,ITA,8,8
2016,NED,8,8
2018,NED,8,8
2024,UZB,8,8
1996,AUS,9,9
1996,CUB,9,9
1996,UKR,9,9
1998,RUS,9,9
2004,CUB,9,9
2004,GBR,9,9
2004,KOR,9,9
2006,AUT,9,9
2006,USA,9,9
2008,JPN,9,9
2010,NOR,9,9
2010,USA,9,9
2014,USA,9,9
2016,KOR,9,9
2018,USA,9,9
2024,CAN,9,9
1998,NOR,10,10
2002,USA,10,10
2004,ITA,10,10
2010,GER,10,10
2014,CAN,10,10
2016,FRA,10,10
2020,FRA,10,10
2020,GER,10,10
2020,ITA,10,10
2020,NED,10,10
2024,NZL,10,10
2000,CUB,11,11
2000,GBR,11,11
2000,ROU,11,11
2004,FRA,11,11
2006,GER,11,11
2012,FRA,11,11
2012,GER,11,11
2014,NOR,11,11
2014,RUS,11,11
2018,CAN,11,11
1998,GER,12,12
2000,NED,12,12
2002,GER,12,12
2016,JPN,12,12
2024,GER,12,12
2024,ITA,12,12
1996,ITA,13,13
2000,FRA,13,13
2000,GER,13,13
2000,ITA,13,13
2002,NOR,13,13
2004,GER,13,13
2008,KOR,13,13
2012,KOR,13,13
2024,KOR,13,13
2008,AUS,14,14
2010,CAN,14,14
2018,GER,14,14
2018,NOR,14,14
2024,GBR,14,14
1996,FRA,15,15
2024,NED,15,15
1996,CHN,16,16
2000,AUS,16,16
2004,JPN,16,16
2008,GER,16,16
2024,FRA,16,16
2004,AUS,17,17
2016,GER,17,17
2020,AUS,17,17
2012,RUS,18,18
2024,AUS,18,18
2008,GBR,19,19
2016,RUS,19,19
1996,GER,20,20
2020,ROC,20,20
2024,JPN,20,20
2020,GBR,22,22
2008,RUS,24,24
1996,RUS,26,26
2016,CHN,26,26
2016,GBR,27,27
2020,JPN,27,27
2000,CHN,28,28
2004,RUS,28,28
2012,GBR,29,29
2000,RUS,32,32
2004,CHN,32,32
2004,USA,36,36
2008,USA,36,36
2000,USA,37,37
2020,CHN,38,38
2012,CHN,39,39
2020,USA,39,39
2024,CHN,40,40
2024,USA,40,40
1996,USA,44,44
2016,USA,46,46
2008,CHN,48,48
2012,USA,48,48
